#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
El asiento	The seat ✓	Sätet	Noun	El asiento es muy cómodo.	The seat is very comfortable.	The word asiento comes from the Latin assentus, meaning agreement or to sit down.	Noun
Advertir	To warn ✓	Att varna	Verb	Te advierto que lleves paraguas.	I warn you to take an umbrella.	The verb advertir is derived from the Latin advertere, which means to turn towards or to attend to, reflecting the idea of paying attention to something important.	Verb
La ansiedad	The anxiety ✓	Ångest	Noun	La ansiedad puede ser abrumadora en ciertos momentos.	The anxiety can be overwhelming at times.	La ansiedad comes from the Latin anxietas, meaning uneasiness or difficulty, which highlights the emotional struggle associated with anxiety.	Noun
El apoyo	The support ✓	Stödet	Noun	El apoyo es fundamental para el éxito.	The support is fundamental for success.	The word apoyo comes from the verb apoyar, meaning to support or to lean. It highlights the importance of assistance in achieving goals.	Noun
La cima	The summit ✓	Toppen	Noun	La cima es hermosa.	The summit is beautiful.	The word cima comes from Latin cȳma, meaning top or peak, illustrating the importance of high places in both language and culture.	Noun
Tener ganas de	To look forward to ✓	Att se fram emot	Phrase	Yo tengo ganas de comer pizza.	I look forward to eating pizza.	The phrase Tener ganas de literally translates to to have desires of, emphasizing the feelings of anticipation in Spanish culture.	Phrase
Mostrar	To show ✓	Att visa	Verb	Yo quiero mostrar mi dibujo.	I want to show my drawing.	The verb mostrar comes from the Latin word monstrare, which means to point out or to demonstrate.	Verb
El maquillaje	The makeup ✓	Smink	Noun	Me gusta comprar el maquillaje nuevo.	I like to buy the new makeup.	The word maquillaje comes from the verb maquillar, which means to apply makeup in Spanish.	Noun
El anillo	The ring ✓	Ringen	Noun	El anillo es de oro.	The ring is made of gold.	The word antillo derives from anillo, which means ring, and is a diminutive form that can imply a smaller or delicate version.	Noun
Mandar	Send / command / instruct ✓	Skicka	Verb	Yo voy a mandar un correo.	I am going to send an email.	The verb mandar comes from the Latin mandare, which means to commit or to entrust.	Verb
La caducidad	The expiration (date) ✓	Utgången	Noun	La caducidad del producto es hoy.	The expiration date of the product is today.	La caducidad comes from the Latin root caducus, meaning fallen or inevitable, highlighting the idea of something that cannot last forever.	Noun
A expensas suyas	At their expense	På han/hennes bekostnad ✓	Phrase	El viaje se organizó a expensas suyas.	The trip was organized at their expense.	The phrase a expensas suyas emphasizes the cost incurred by someone else, highlighting a sense of responsibility or burden.	Phrase
No es culpa mía	No it’s not my fault	Det är inte mitt fel ✓	Phrase	No es culpa mía que llegara tarde	It’s not my fault that I arrived late	The phrase No es culpa mía emphasizes personal responsibility and is often used in situations where someone is trying to deflect blame.	Phrase
De parte mía	From my side	Från min sida ✓	Phrase	De parte mía, te envío mis mejores deseos.	On my side, I send you my best wishes.	The phrase De parte mía is often used in formal communication to convey messages or sentiments on behalf of oneself.	Phrase
Por cuenta mía	On my account	För min räkning ✓	Phrase	Voy a comprar este libro por cuenta mía.	I am going to buy this book on my account.	Por cuenta mía literally translates to on my account, but it can also imply taking personal responsibility or acting independently.	Phrase
Muy señor mío:	Dear sir:	Min käre herre (formell inledningsfras i brev) ✓	Phrase	Muy señor mío: Espero que se encuentre bien.	Dear Sir: I hope you are well.	Muy señor mío: has been used in formal correspondence for centuries, reflecting a traditional respect in Spanish-speaking cultures.	Phrase
El hogar	The home	Hemmet ✓	Noun	El hogar es un lugar seguro y acogedor.	The home is a safe and cozy place.	Fun fact: The word hogar comes from the Latin focus, which originally referred to the central point of a fire in a dwelling, symbolizing warmth and family.	Noun
Hogar, dulce hogar	Home, sweet home	Hem, ljuva hem ✓	Phrase	Me siento feliz en mi hogar, dulce hogar.	I feel happy in my home, sweet home.	The phrase Hogar, dulce hogar is often used to express nostalgia and comfort associated with ones home, and it originates from a poem by the English author William Shakespeare.	Phrase
Andamos fatal de dinero	Money is tight right now.	Vi har ont om pengar ✓	Phrase	“Andamos fatal de dinero, así que no podemos salir a cenar.”	“We are tight on money, so we cant go out to dinner.”	The phrase Andamos fatal de dinero is informal and often used in everyday conversation to describe financial difficulties.	Phrase
Costar caro	Be expensive	Att vara/kosta dyrt ✓	Phrase	El coche nuevo me va a costar caro.	The new car is going to be expensive.	The phrase costar caro literally translates to to cost dear and is commonly used to indicate that something is expensive.	Phrase
Costar barato	Be inexpensive	Att vara/kosta billigt ✓	Phrase	Este libro suele costar barato.	This book usually is cheap.	The phrase costar barato originates from the verb costar, which means to cost, and is widely used in everyday Spanish to describe affordable or low-priced items.	Phrase
Hablar alto	Speak loudly	Att tala högt ✓	Phrase	Es importante hablar alto en una reunión.	It is important to speak loudly in a meeting.	The phrase hablar alto emphasizes the action of speaking with volume, highlighting the need for clarity in communication.	Phrase
Hablar bajo	Speak softly	Att tala lågt ✓	Adverb	Es importante hablar bajo en la biblioteca.	It is important to speak softly in the library.	The phrase hablar bajo combines the verb hablar meaning to speak and bajo, which translates to low, highlighting the cultural emphasis on quietness in certain public spaces.	Adverb
Hablar claro	Speak clearly	Att tala tydligt ✓	Phrase	Es importante hablar claro en una presentación.	It is important to speak clearly in a presentation.	The phrase Hablar claro emphasizes the value of transparency in communication, reflecting a common cultural emphasis on clarity in social interactions.	Phrase
Ir (andar) fatal de	Go really badly	Ha stora problem med (uttryck) ✓	Phrase	Siempre ando fatal de energía después de un largo día.	I always end up going really badly on energy after a long day.	The phrase ir (andar) fatal de reflects the use of verbs indicating movement to describe states of being, highlighting the dynamic nature of the Spanish language.	Phrase
Ir lento	Go slow	Gå långsamt ✓	Adverb	Es mejor ir lento para disfrutar del paseo.	It’s better to go slow to enjoy the walk.	The phrase ir lento reflects the importance of taking ones time, which is often encouraged in various cultures to promote mindfulness and appreciation of the moment.	Adverb
Ir rápido	Go fast	Gå snabbt ✓	Adverb	Es importante ir rápido para no perder el autobús.	It is important to go fast to not miss the bus.	The phrase ir rápido highlights the use of the verb ir, which means to go, a fundamental verb in Spanish frequently used in various expressions.	Adverb
Jugar limpio	Play fair	Spela rent ✓	Phrase	Es importante jugar limpio en todos los deportes.	It is important to play fair in all sports.	The phrase jugar limpio emphasizes fairness in competition and is used widely in sports and ethics discussions.	Phrase
Trabajar duro	Work hard	Jobba hårt ✓	Phrase	Es importante trabajar duro para alcanzar tus metas.	It is important to work hard to achieve your goals.	Trabajar duro emphasizes the value of effort in achieving success, reflecting a common cultural belief in hard work across many societies.	Phrase
Frecuentemente	Often	Ofta ✓	Adverb	Ella va al gimnasio frecuentemente.	She goes to the gym frequently.	The word frecuentemente comes from frecuente, which means frequent, and it emphasizes regularity in actions.	Adverb
Esencial	Essential	Väsentlig ✓	Adjective	El agua es esencial para la vida.	Water is essential for life.	The word esencial comes from the Latin essentia, which means being or essence, highlighting its importance in defining what is crucial.	Adjective
Esencialmente	Essentially	Väsentligt ✓	Adverb	Esencialmente, el tiempo es oro.	Essentially, time is money.	The word esencialmente comes from esencial, which is derived from the Latin essentialis, meaning pertaining to essence.	Adverb
Inútilmente	Uselessly	I onödan, förgäves ✓	Adverb	Ella estudió inútilmente para el examen.	She studied uselessly for the exam.	The word inútilmente comes from inútil, which means useless; it is often used to describe actions that do not yield the desired results.	Adverb
Inútil	Useless	Oanvändbar, värdelös ✓	Adjective	Este objeto es inútil.	This object is useless.	Inútil comes from the Latin inutilis, which also means useless and can refer to something that lacks value or function.	Adjective
Afortunadamente (felizmente)	Fortunately	Lyckligtvis ✓	Adverb	Afortunadamente, no llovió durante el picnic.	Fortunately, it didnt rain during the picnic.	The word afortunadamente comes from the Latin fortunatus, which means fortunate or lucky.	Adverb
Decididamente	Decidedly	Sannerligen ✓	Adverb	Estaba decididamente feliz con su elección.	He was decidedly happy with his choice.	The adverb decididamente comes from the verb decidir, meaning to decide, emphasizing clarity and determination in the statement.	Adverb
Desafortunadamente	Unfortunately	Tyvärr ✓	Adverb	Desafortunadamente, no pude asistir a la fiesta.	Unfortunately, I couldnt attend the party.	The word desafortunadamente comes from desafortunado, which means unfortunate, and its often used to express regret or disappointment in Spanish conversations.	Adverb
Efectivamente	Indeed	Mycket riktigt (satsadverb) ✓	Adverb	Efectivamente, el examen fue difícil.	Indeed, the exam was difficult.	The word efectivamente comes from the Latin effectivus, meaning effective, and is commonly used to confirm information or agree with a statement.	Adverb
Evidentemente	Obviously	Uppenbarligen ✓	Adverb	Evidentemente, hoy va a llover.	Obviously, its going to rain today.	The word evidentemente comes from the Latin evidens, meaning clear or manifest, which reflects its function in signaling something apparent or obvious.	Adverb
Finalmente	Finally	När allt kommer omkring ✓	Adverb	Finalmente, llegamos a casa.	Finally, we arrived home.	The word finalmente comes from the Latin finalis, meaning final or last, indicating its use in concluding statements.	Adverb
Fundamentalmente	Fundamentally	I grund och botten ✓	Adverb	Fundamentalmente, la educación es la clave del éxito.	Fundamentally, education is the key to success.	The word fundamental comes from the Latin fundamentalis, meaning of the foundation.	Adverb
Indudablemente	Indubitably	Otvivelaktigt ✓	Adverb	Indudablemente, él vendrá a la fiesta.	Indubitably, he will come to the party.	The word indudablemente is derived from the Latin indubitable, meaning without doubt, and is often used to express certainty in Spanish.	Adverb
Posiblemente	Possibly	Möjligen ✓	Adverb	Posiblemente iré al cine mañana.	I will possibly go to the cinema tomorrow.	Posiblemente derives from the Latin possibilis, meaning able to be done. It reflects uncertainty in its usage.	Adverb
Probablemente	Probably	Troligt ✓	Adverb	Probablemente irá a la fiesta.	He will probably go to the party.	The word probablemente comes from the Latin probabilis, meaning provable or likely, reflecting its role in expressing uncertainty or likelihood.	Adverb
Seguramente	Surely	Säkert ✓	Adverb	Seguramente vendrá a la fiesta.	Surely he will come to the party.	The word seguramente derives from the Latin securus, which means free from care, reflecting confidence in the statement.	Adverb
Sinceramente	Sincerely	Ärligt talat (satsadverb) ✓	Adverb	Sinceramente, no me gusta este libro.	Honestly, I dont like this book.	The word Sinceramente comes from sincero, which roots back to Latin sincerus, meaning clean or pure, reflecting sincerity in expression.	Adverb
Más bien creo que intentó engañarnos.	Rather i think he tried to deceive us.	Jag tror snarare han försökte lura oss. ✓	Phrase	Más bien creo que intentó engañarnos.	Rather I think he tried to deceive us.	The phrase reflects a common Spanish way of expressing doubt or correcting someone, highlighting the speakers belief that an alternative explanation is more likely.	Phrase
Engañar	To deceive	Att lura ✓	Verb	Él intenta engañar a sus amigos.	He tries to deceive his friends.	The word engaño derives from the Latin ingenium, meaning inborn talent or nature, highlighting the cleverness involved in deception.	Verb
Engañarse	To deceive oneself	Att lura sig själv ✓	Verb	No debes engañarte a ti mismo.	You should not deceive yourself.	The verb engañarse comes from the Latin decipere, which means to seize or to ensnare, reflecting the idea of falling into ones own traps of thought.	Verb
Ya que	Given that ✓	Eftersom	Conjunction/subjunction	Ya que tengo hambre, voy a comer.	Given that I am hungry, I am going to eat.	The phrase Ya que is commonly used in Spanish to indicate a reason or justification for an action, similar to since or because in English.	Conjunction/subjunction
De todos modos	In any case ✓	I vilket fall som helst	Conjunction/subjunction	De todos modos, debemos seguir adelante con el proyecto.	In any case, we must move forward with the project.	The phrase De todos modos emphasizes certainty, blending de todos modos (in any case) with a stronger assertion through repetition.	Conjunction/subjunction
No tiene sentido	It makes no sense ✓	Det har ingen mening	Phrase	Decir que el sol no brilla no tiene sentido.	Saying that the sun doesnt shine makes no sense.	The phrase No tiene sentido is commonly used in Spanish to express confusion or disagreement, emphasizing the illogical nature of a statement or situation.	Phrase
Tanto	So much ✓	Så mycket	Adverb	Ella estudia tanto	She studies so much	The word tanto comes from Latin tantus, meaning so great or so much, and it is widely used in both formal and colloquial Spanish to denote quantity or intensity.	Adverb
Aumentar	Increase ✓	Öka	Verb	El precio va a aumentar.	The price is going to increase.	The verb aumentar comes from the Latin augmentare, which means to make bigger or to increase.	Verb
Brecha de genero	The gender gap ✓	Könsgapet	Noun	La brecha de género es un problema social importante.	The gender gap is an important social issue.	The term brecha de género highlights the disparities between men and women, commonly in terms of income, opportunities, and social status.	Noun
El bienestar	The welfare ✓	Välfärden	Noun	El bienestar es fundamental para una buena calidad de vida.	The welfare is essential for a good quality of life.	The term bienestar comes from the Spanish words bien meaning well and estar meaning to be, reflecting the state of being well or comfortable.	Noun
La renta	The income ✓	Inkomst	Noun	La renta es importante para la economía familiar.	The income is important for family economics.	The word renta comes from Latin rendita, which means that which is yielded.	Noun
La fuente	The fountain ✓	Fontänen	Noun	La fuente está en el parque.	The fountain is in the park.	The word fuente comes from Latin fons, meaning spring or source.	Noun
Da problemas	It causes problems ✓	Det orsakar problem	Phrase	Esa máquina da problemas	That machine causes problems	The phrase da problemas comes from the verb dar, meaning to give, indicating that something is giving rise to issues or difficulties.	Phrase
Hay quien	There are those ✓	Det finns de	Pronoun	Hay quien prefiere el café por la mañana.	There are those who prefer coffee in the morning.	Fun fact: Hay quien is often used to introduce opinions or behaviors that may not be universal, implying a sense of variety among people.	Pronoun
El roedor	The rodent ✓	Den gnagaren	Noun	El roedor corre rápido.	The rodent runs quickly.	The word roedor comes from the Latin rodere, which means to gnaw.	Noun
En cuanto a	As to ✓	När det gäller	Preposition	En cuanto a los libros, me gusta leer en la tarde.	As to books, I enjoy reading in the afternoon.	En cuanto a literally translates to in regard to and is commonly used to introduce a specific topic in conversation.	Preposition
El cigarro	The cigar ✓	Cigarren	Noun	El cigarro es caro.	The cigar is expensive.	The word cigar originates from the Spanish word cigarro, which in turn comes from the Mayan word sikAR, meaning to roll.	Noun
La cigarra	The cicada ✓	Cikadan	Noun	La cigarra canta en el verano.	The cicada sings in the summer.	The word cicada comes from the Latin cicada, which means to chirp.	Noun
Verosímil	Plausible ✓	Plausibel	Adverb	La explicación que dio el científico era muy verosímil.	The explanation given by the scientist was very plausible.	The term verosímil comes from the Latin verosimile, which combines verus meaning true and similis meaning like, thus referring to something that appears true or likely.	Adverb
El asunto	The matter ✓	Frågan	Noun	El asunto es complicado.	The matter is complicated.	The word asunto comes from the Latin assuntum, which means approached or brought to attention.	Noun
Cotidiano	Daily ✓	Daglig	Adverb	Me gusta leer el periódico cada día en mi rutina cotidiana.	I like to read the newspaper every day in my daily routine.	The word cotidiano comes from the Latin cotidianus, which means daily or of each day.	Adverb
Por otra parte	On the other hand ✓	Å andra sidan	Conjunction/subjunction	Me gusta la playa. Por otra parte, mi hermano prefiere las montañas.	I like the beach. On the other hand, my brother prefers the mountains.	The phrase Por otra parte literally means on another side and is commonly used to present an alternative perspective in discussions.	Conjunction/subjunction
Tal como	Such as ✓	Sådana som	Conjunction/subjunction	Tal como los árboles crecen, nosotros también podemos crecer.	Such as trees grow, we can also grow.	The phrase tal como originated from Latin, meaning just as, and is often used to introduce examples in Spanish.	Conjunction/subjunction
Borracho	Drunk ✓	Berusad	Adjective	El hombre está borracho.	The man is drunk.	The term borracho comes from the Latin ebriacus, which relates to drunkenness and has similar roots in various Romance languages.	Adjective
La planeta tierra	The planet earth ✓	Planet jorden	Noun	La planeta tierra es hermosa.	The planet earth is beautiful.	The term planet comes from the Greek word planetes, which means wanderer. This reflects how planets move across the sky.	Noun
Hacer la vista gorda	Turn a blind eye ✓	Blunda för	Phrase	El profesor decidió hacer la vista gorda cuando sus alumnos hicieron trampa.	The teacher decided to turn a blind eye when his students cheated.	Hacer la vista gorda originates from the Spanish phrase meaning to make the eye fat, suggesting a deliberate disregard for something one sees.	Phrase
Pinzar	Pinch ✓	Att pincha	Verb	Voy a pinzar la parte superior de la bolsa.	I am going to pinch the top of the bag.	Pinzar is derived from the Latin word pincere, which also means to pinch.	Verb
Una birria	A piece of shit ✓	Ett stycke skit	Phrase	Ese trabajo fue una birria.	That job was a piece of shit.	The term birria originally referred to a type of stew from Mexico, but it has evolved to describe something of poor quality or worthlessness in slang.	Phrase
Echar	To throw ✓	Att kasta	Verb	Echar la pelota	To throw the ball	The verb Echar comes from the Latin iacere, which means to throw or to cast.	Verb
El nudo	The knot ✓	Knuten	Noun	El nudo es difícil de deshacer.	The knot is difficult to untie.	The word nudo comes from the Latin nodus, meaning a node or a knot.	Noun
Cojonudo	Awesome (vulgar)	Fantastiskt	Adjective	Tú eres cojonudo.	You are awesome.	The word is derived from cojones.	Adjective
Merecer	To deserve ✓	Att förtjäna	Verb	Todos merecen ser felices.	Everyone deserves to be happy.	The verb merecer comes from the Latin meritiare, which means to earn or to deserve, highlighting its connection to merit and value.	Verb
Enterrar	To bury ✓	Att begrava	Verb	Voy a enterrar la caja en el jardín.	I am going to bury the box in the garden.	The word Enterrar comes from the Latin interrare, which means to inter. It is often used in both literal and metaphorical contexts in Spanish.	Verb
La corbata	The tie ✓	Slips knot	Noun	La corbata es roja.	The tie is red.	The word corbata in Spanish comes from the Arabic al-burbata, reflecting historical influences on the language.	Noun
El humo	The smoke ✓	Röken	Noun	El humo es denso.	The smoke is dense.	The word humo comes from the Latin fumus, which also means smoke and is related to words in English such as fume and infume.	Noun
Me pillaba de paso	I was passing by ✓	Jag passerade förbi	Phrase	Me pillaba de paso por la cafetería.	I was passing by the café.	The phrase Me pillaba de paso conveys a sense of casualness and spontaneity, often used in everyday conversations to describe an unplanned encounter.	Phrase
La muñeca	The wrist ✓	Handled	Noun	La muñeca duele cuando me muevo.	The wrist hurts when I move.	The word muñeca can also mean doll in Spanish, which comes from the Latin māneca, referring to a small hand or wrist.	Noun
Chulo	Pimp/cool ✓	Snygg	Adjective	Ese coche es muy chulo.	That car is really cool.	The word chulo originally referred to a dandy in 19th-century Spain, but has evolved to mean stylish or cool in modern usage.	Adjective
Esconder	Hide ✓	Att dölja	Verb	Voy a esconder el libro.	I am going to hide the book.	The verb esconder comes from the Latin word abscondere, which means to hide away.	Verb
Haz caso	Pay attention ✓	Var uppmärksam	Phrase	Haz caso a lo que te dicen tus padres.	Pay attention to what your parents say.	The phrase Haz caso comes from the verb hacer (to make or to do) and is commonly used in Spanish-speaking cultures to emphasize the importance of listening and being attentive.	Phrase
Oidar	To hate ✓	Att hata	Verb	Yo odio las espinacas.	I hate spinach.	Interestingly, odiar comes from the Latin odium, which also means hatred.	Verb
Sembrar	Sow ✓	Att så	Verb	Voy a sembrar semillas en el jardín.	I am going to sow seeds in the garden.	The verb sembrar comes from Latin saturare, meaning to make fertile, emphasizing its agricultural roots.	Verb
No hay más cojones	There are no more options ✓	Det finns inga fler alternativ	Phrase	No hay más cojones en esta situación	There are no more options in this situation	The phrase No hay más cojones is often used in Spanish to express a point of inevitability or lack of alternatives, reflecting a colloquial attitude towards tough decisions.	Phrase
La procedencia	The origin ✓	Ursprunget	Noun	La procedencia del vino es MUY importante.	The origin of the wine is very important.	The word procedencia comes from the Latin procedentia, which means coming forth or origin.	Noun
No toques mucho los cojones	"Don&#x27;t get cocky (vulgar) ✓"	Tveka inte så mycket	Phrase	No toques mucho los cojones cuando hables con tu jefe.	Dont get cocky when you talk to your boss.	The phrase No toques mucho los cojones originates from Spanish slang and reflects the informal way that colloquial language can express frustration or admonishment.	Phrase
Regar	To water ✓	Att vattna	Verb	Yo voy a regar las plantas.	I am going to water the plants.	Regar comes from the Latin rigare, which means to wet or moisten.	Verb
¡Sarmentosa por calentura de varón!	She is twisted by the hotness of a man!	Hon är dirty minded (nedlåtande) ✓	Phrase	¡Sarmentosa por calentura de varón!	¡Sarmentosa por calentura de varón!	The phrase derives from a cultural view that associates womens sexual expression with negative traits, reflecting deep-seated gender stereotypes in language.	Phrase
Aconsejable	Advisable	Rekommendat, lämpligt ✓	Adjective	Es aconsejable estudiar todos los días.	It is advisable to study every day.	The word aconsejable comes from the verb aconsejar, meaning to advise, reflecting its usage in recommending actions.	Adjective
Lamentable	Lamentable	Olyckligt, ångersvärt ✓	Adjective	La situación actual es lamentable.	The current situation is lamentable.	Lamentable originates from the Latin word lamentabilis, meaning to be mourned.	Adjective
Penoso	Painful	Pinsamt / smärtsamt ✓	Adjective	Es penoso ver a alguien sufrir.	It is painful to see someone suffer.	The word penoso comes from the Latin poenosa, which means full of pain or sorrow.	Adjective
A la vez	At the same time	Åt gången ✓	Adverb	Ella estudia y trabaja a la vez.	She studies and works at the same time.	The phrase A la vez is often used in Spanish to express simultaneous actions, reflecting the importance of multitasking in many cultures.	Adverb
Para siempre	Forever	För alltid ✓	Adverb	Te amaré para siempre.	I will love you forever.	Para siempre literally translates to for always, with para meaning for and siempre meaning always. It reflects an enduring and timeless concept in many cultures.	Adverb
La maleta	The suitcase ✓	Resväska	Phrase	La maleta está en el armario.	The suitcase is in the closet.	The word maleta comes from the Latin māllettā, which means a small bag or case.	Phrase
¿De qué guindo te has caído?	Which tree did you fall from? ✓	Vilken träd har du fallit ifrån?	Phrase	No entiendo por qué dices eso, ¿de qué guindo te has caído?	I dont understand why you say that, which tree did you fall from?	The phrase ¿de qué guindo te has caído? is often used to express disbelief or to question someones sanity, similar to saying someone is out of touch with reality.	Phrase
El amanecer	The sunrise ✓	Gryningen	Noun	El amanecer es hermoso.	The dawn is beautiful.	The term amanecer comes from the Latin word admanicare, meaning to make light.	Noun
El buzón	The mailbox ✓	Postlådan	Noun	El buzón está lleno de cartas.	The mailbox is full of letters.	The word buzón comes from the Latin bulsus, meaning bag or sack, indicating its original function as a receptacle for collecting mail.	Noun
A gusto	Comfortable ✓	Bekväm	Adjective	En esa casa siempre estamos a gusto.	In that house we always feel at ease.	The word a gusto can also be used with sentirse.	Adjective
Asegurado	Secured/guaranteed ✓	Säker	Adjective	El préstamo está asegurado.	The loan is secured.	The word asegurado comes from the verb asegurar, which means to assure or to ensure in Spanish.	Adjective
La aspiradora	The vacuum cleaner ✓	Dammsugaren	Noun	La aspiradora es muy útil para limpiar la casa.	The vacuum cleaner is very useful for cleaning the house.	In Spanish, aspiradora comes from aspirar, meaning to inhale or to suck in, highlighting its function of sucking up dirt and debris.	Noun
Antender	To tend to / to pay atencion ✓	Att ta hand om / att betala uppmärksamhet	Verb	Es importante antender a los detalles.	It is important to tend to the details.	The verb antender is often confused with atender, which means to attend to or to assist; its usage can vary regionally in Spanish-speaking countries.	Verb
Calentar	To heat	Värma upp, värma ✓	Verb	Yo voy a calentar la comida.	I am going to heat the food.	The verb calentar comes from the Latin calentare, which relates to warmth and has been used in various contexts involving heat since the 15th century.	Verb
Calentarse	To heat up	Bli kåt ✓	Verb	Ellos se calientan antes de jugar al fútbol.	They heat up before playing soccer.	The verb calentarse comes from the Latin calentare, related to warmth and excitement.	Verb
Negar con la cabeza	Shake ones head	Skaka på huvudet (håller inte med) ✓	Phrase	Ella negó con la cabeza cuando le preguntaron si quería ir a la fiesta.	She shook her head when they asked her if she wanted to go to the party.	The phrase negar con la cabeza literally means to deny with the head, which emphasizes body languages role in communication.	Phrase
Negar	To deny	Neka / förneka ✓	Verb	Ella no puede negar la verdad.	She cannot deny the truth.	The verb negar comes from Latin negare, which is related to the Latin word for no, making it fundamentally linked to negation.	Verb
Sostener	To sustain	Hålla / stödja (financiellt) ✓	Verb	Yo sostengo a mi familia financieramente.	I support my family financially.	The verb sostener comes from the Latin sustinere, which means to hold up or to support.	Verb
Ha bebido tanto que no se sostiene	He has drunk so much that he cant stand up.	Han har druckit så mycket att han inte kan stå upp. ✓	Phrase	Después de la fiesta, ha bebido tanto que no se sostiene.	After the party, he has drunk so much that he cant stand up.	The phrase Ha bebido tanto que no se sostiene illustrates the effects of excessive drinking, highlighting a common scenario often depicted in literature and everyday conversations.	Phrase
Temblar	To tremble	Skaka, huttra ✓	Verb	Cuando hace frío, suelo temblar.	When its cold, I usually tremble.	The verb temblar comes from the Latin tremulare, which means to tremble or to shake.	Verb
Temblar de miedo	To tremble with fear	Skaka av rädsla ✓	Phrase	Ella temblaba de miedo al ver la película de terror.	She trembled with fear when watching the horror movie.	The phrase temblar de miedo comes from the verb temblar, which means to tremble, combined with de miedo, meaning with fear, effectively conveying the physical reaction to fear.	Phrase
Aprobar	To approve	Passera, godkänna ✓	Verb	Los estudiantes deben aprobar el examen.	The students must pass the exam.	The verb aprobar originates from the Latin approbāre, which means to prove to be good or acceptable.	Verb
Morder	To bite	Att bita ✓	Verb	El perro quiere morder la pelota.	The dog wants to bite the ball.	The verb morder comes from the Latin mordere, which means to bite.	Verb
Morder el anzuelo	Take the bait ✓	Ta betet	Phrase	No deberías morder el anzuelo en esa discusión.	You shouldnt take the bait in that argument.	The phrase morder el anzuelo is often used in Spanish to describe the act of falling for a trap or provocation, similar to a fish biting a hook.	Phrase
Morder el polvo	Bite the dust ✓	Bita i dammet	Phrase	El caballo tuvo que morder el polvo en la carrera.	The horse had to bite the dust in the race.	The phrase morder el polvo has its origins in the idea that falling or losing in combat results in hitting the ground, which is often associated with defeat.	Phrase
Hervir	To boil	Koka ✓	Verb	El agua va a hervir.	The water is going to boil.	The word hervir comes from the Latin bubulare, meaning to bubble, reflecting the boiling process.	Verb
Invertir	To invest	Invertera, vänta ut och in / investera (pengar) ✓	Verb	Voy a invertir en la bolsa.	I am going to invest in the stock market.	The word invertir comes from the Latin invertere, meaning to turn over or to reverse, reflecting the idea of reallocating resources.	Verb
Perseguir	Persue, follow, chase ✓	Att förfölja	Verb	Yo voy a perseguir el autobús.	I am going to chase the bus.	The verb perseguir comes from the Latin persequi, which means to follow closely or to pursue.	Verb
Reñir	To scold	Att bråka / att skälla ut ✓	Verb	El maestro reñía a los estudiantes por no hacer sus tareas.	The teacher was scolding the students for not doing their homework.	Reñir comes from the Latin renegare, meaning to deny or refuse, illustrating the words association with conflict or reprimanding.	Verb
Narrador omnisciente	Omniscient narrator	Allvetande berättare ✓	Phrase	El narrador omnisciente conoce todos los pensamientos de los personajes.	The omniscient narrator knows all the characters thoughts.	The term narrador omnisciente comes from Latin roots, where omnis means all and scire means to know.	Phrase
Tardar en	To delay	Bli sen, ta tid ✓	Verb	Voy a tardar en llegar a la fiesta.	I am going to be late to the party.	The verb tardar comes from the Latin word tardare, which means to delay or to be slow.	Verb
Sin tardar	Immediately	Utan fördröjning, utan att vänta ✓	Adverb	Necesito que vengas sin tardar.	I need you to come immediately.	The phrase sin tardar is often used in urgent requests, and it literally translates to without delay in English.	Adverb
El fuego	The fire	Elden ✓	Noun	El fuego arde en la chimenea.	The fire burns in the fireplace.	The word fuego comes from the Latin focus, which means hearth or fireplace.	Noun
El burro	The donkey	Åsnan ✓	Noun	El burro come hierba.	The donkey eats grass.	El burro has roots in Latin, deriving from burricus, which means a male donkey and reflects the animals strong reputation for stubbornness.	Noun
La jirafa	The giraffe	Giraffen ✓	Noun	La jirafa come hojas de los árboles.	The giraffe eats leaves from the trees.	La jirafa comes from the Arabic word zarāfa, meaning to walk swiftly, reflecting the animals graceful movements.	Noun
El chimpancé	The chimpanzee	Schimpansen ✓	Noun	El chimpancé es un animal muy inteligente.	The chimpanzee is a very intelligent animal.	The term chimpanzee comes from a word in the Bantu languages of Central Africa, reflecting its origins in the region.	Noun
La serpiente	The snake	Ormen ✓	Noun	La serpiente se desliza por el suelo.	The snake slithers on the ground.	In many cultures, the snake symbolizes transformation and rebirth, often due to its ability to shed its skin.	Noun
La ballena	The whale	Valen (djur) ✓	Noun	La ballena nada en el océano.	The whale swims in the ocean.	Whales are known for their complex songs, which can be heard over long distances underwater.	Noun
El tiburón	The shark	Hajen ✓	Noun	El tiburón nada en el océano.	The shark swims in the ocean.	Fun fact: The word tiburón comes from the Latin tiburcio, which refers to a large fish.	Noun
El alce	The moose	Älgen ✓	Noun	El alce vive en los bosques.	The moose lives in the forests.	The word alce comes from the Latin alces, which is related to the ancient Greek álkos, referring to the animal.	Noun
El reno	The reindeer	Renen ✓	Noun	El reno corre en el bosque.	The reindeer runs in the forest.	The word reno comes from the norrøn word reindýr which means reindeer, highlighting its connection to Nordic culture.	Noun
El oso	The bear	Björnen ✓	Noun	El oso es grande.	The bear is big.	The word oso comes from the Latin ursus, which is also the root for words related to bears in several other languages, including ursine.	Noun
